lead_id,platform,comment_text,city,district,province,customer_type,housing_type,demand_signals,lead_score,lead_grade,contact_intent,urgency,status,created_at
PV_LEAD_77DE6643,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,49,B,False,low,new,2026-07-13 13:42:21
PV_LEAD_E656442C,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,49,B,False,low,new,2026-07-13 13:42:46
PV_LEAD_D28442F0,douyin,光伏了解一下,北京,,北京,家庭用户,普通住宅,,45,B,False,low,new,2026-07-13 13:42:46
PV_LEAD_07DF99EE,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,49,B,False,low,new,2026-07-19 15:05:25
PV_LEAD_784D6866,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,53,B,False,low,new,2026-07-19 15:16:59
PV_LEAD_27700EC4,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,50,B,False,low,new,2026-07-19 15:49:17
PV_LEAD_7C4170C7,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,50,B,False,low,new,2026-07-19 15:56:55
PV_LEAD_2CFB9856,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,49,B,False,low,new,2026-07-19 17:19:36
PV_LEAD_6392639F,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,49,B,False,low,new,2026-07-19 17:27:46
PV_LEAD_46E7C2AA,xiaohongshu,光伏发电靠谱吗？想了解一下,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,51,B,False,low,new,2026-07-19 17:56:26
PV_LEAD_FB750C48,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,56,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_A8EB5EE9,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,58,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_EEC270B8,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,家庭用户,普通住宅,安装需求,56,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_651B89D3,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,家庭用户,普通住宅,安装需求,58,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_F3817A81,douyin,贵阳观山湖区开棋牌室的，电费一个月五六千吃不消，光伏能省多少？,贵州贵阳,,贵州贵阳,家庭用户,普通住宅,,56,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_8322F09C,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,家庭用户,普通住宅,安装需求,58,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_8EE99007,kuaishou,遵义红花岗区的自建房准备重新装修，想顺便把光伏装了，不知道好不好维护,贵州遵义,,贵州遵义,家庭用户,农村自建房,安装需求,58,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_8A4706A6,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,家庭用户,普通住宅,安装需求,58,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_1A22DD44,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,家庭用户,普通住宅,安装需求,56,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_C2DDBA1B,xiaohongshu,重庆渝中区高层住宅，开发商说屋顶可以用，想装光伏但完全不懂，求科普,重庆,,重庆,家庭用户,普通住宅,安装需求,56,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_1BAD1A6E,douyin,贵州安顺西秀区的自建房，看到邻居装了效果不错，也想了解一下，可以来看看吗？,贵州安顺,,贵州安顺,家庭用户,农村自建房,安装需求,42,B,False,low,new,2026-07-19 21:43:52
PV_LEAD_552C91D8,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,56,B,False,low,new,2026-07-19 22:00:21
PV_LEAD_BD645BE1,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,58,B,False,low,new,2026-07-19 22:00:21
