lead_id,platform,comment_text,city,district,province,customer_type,housing_type,demand_signals,lead_score,lead_grade,contact_intent,urgency,status,created_at
PV_LEAD_FC427CC5,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-13 13:42:21
PV_LEAD_8403A0A8,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-13 13:42:46
PV_LEAD_8AA5BB70,douyin,别墅想装光伏，报价多少？,四川成都,,四川成都,别墅用户,别墅,安装需求|价格咨询,81,S,True,high,new,2026-07-13 13:42:46
PV_LEAD_A358D7D9,douyin,别墅光伏安装报价联系电话,四川成都,,四川成都,别墅用户,别墅,安装需求|价格咨询|高意向,96,S,True,high,new,2026-07-13 13:42:46
PV_LEAD_D6FE0066,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-13 13:42:50
PV_LEAD_8E2CF25B,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 15:05:25
PV_LEAD_E1917196,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 15:16:59
PV_LEAD_CFE4E577,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 15:49:17
PV_LEAD_B6AC0458,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 15:56:55
PV_LEAD_6735C5D5,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 17:19:36
PV_LEAD_D9D4EDF1,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 17:27:46
PV_LEAD_C0727DD1,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 17:56:26
PV_LEAD_A8917CB9,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_F12617D1,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,81,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_B3205C96,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_0A041897,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_FEC2757C,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_6C57E88E,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_E45141CB,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,81,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_1A270E63,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_BDA16316,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,98,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_C7BEAAD9,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_8694641D,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_13FF7BBC,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_9A015B89,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_F0C7C024,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_2B2866D8,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_58881045,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_089DD5BE,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_DBE964F6,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_6E5FF1ED,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_11D67A6B,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_61FCD86F,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_CD8EC2BF,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_C8B59360,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_18C69F60,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_5183B54D,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_E7A0C953,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_5CC78578,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_229338F5,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_ED741582,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_BB5976D1,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_176E95BA,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_B63E0792,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:34
PV_LEAD_F227EA31,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:12:34
PV_LEAD_09459DED,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_CEA7051D,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_6E0FAB9F,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_334E9801,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_0949A9A0,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_9BBE00C7,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_1483BBD0,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:21:40
